Wavelength (nm),Extraterrestrial W*m-2*nm-1
323.0,6.4900E-01
323.5,6.8138E-01
324.0,7.4050E-01
324.5,7.8800E-01
325.0,8.2918E-01
325.5,9.1377E-01
326.0,9.9835E-01
326.5,1.0166E+00
327.0,1.0047E+00
327.5,9.8679E-01
328.0,9.5681E-01
328.5,9.3400E-01
329.0,1.0046E+00
329.5,1.0958E+00
330.0,1.1098E+00
330.5,1.0429E+00
331.0,9.9100E-01
331.5,9.9396E-01
332.0,9.9277E-01
332.5,9.8003E-01
333.0,9.6394E-01
333.5,9.3700E-01
334.0,9.5557E-01
334.5,9.8862E-01
335.0,1.0097E+00
335.5,9.7453E-01
336.0,8.8979E-01
336.5,8.2900E-01
337.0,8.1800E-01
337.5,8.7732E-01
338.0,9.2529E-01
338.5,9.5783E-01
339.0,9.6863E-01
339.5,9.8900E-01
340.0,1.0544E+00
340.5,1.0463E+00
341.0,9.7100E-01
341.5,9.5900E-01
342.0,9.9570E-01
342.5,1.0277E+00
343.0,1.0417E+00
343.5,9.8301E-01
344.0,8.5416E-01
344.5,8.1300E-01
345.0,9.1583E-01
345.5,9.7021E-01
346.0,9.4269E-01
346.5,9.5594E-01
347.0,9.6954E-01
347.5,9.3318E-01
348.0,9.2472E-01
348.5,9.3721E-01
349.0,8.9900E-01
349.5,9.1969E-01
350.0,1.0122E+00
350.5,1.0849E+00
351.0,1.0534E+00
351.5,1.0129E+00
352.0,9.8383E-01
352.5,9.2600E-01
353.0,9.8012E-01
353.5,1.0752E+00
354.0,1.1346E+00
354.5,1.1440E+00
355.0,1.1406E+00
355.5,1.0964E+00
356.0,1.0250E+00
356.5,9.5914E-01
357.0,8.4200E-01
357.5,8.5015E-01
358.0,7.8916E-01
358.5,7.3100E-01
359.0,8.5805E-01
359.5,1.0321E+00
360.0,1.0890E+00
360.5,1.0265E+00
361.0,9.4150E-01
361.5,9.1800E-01
362.0,9.5800E-01
362.5,1.0450E+00
363.0,1.0710E+00
363.5,1.0380E+00
364.0,1.0716E+00
364.5,1.0590E+00
365.0,1.0970E+00
365.5,1.2041E+00
366.0,1.2860E+00
366.5,1.2843E+00
367.0,1.2577E+00
367.5,1.2317E+00
368.0,1.1570E+00
368.5,1.1459E+00
369.0,1.1944E+00
369.5,1.2795E+00
370.0,1.2934E+00
370.5,1.1660E+00
371.0,1.1811E+00
371.5,1.2249E+00
372.0,1.1444E+00
372.5,1.0876E+00
373.0,1.0445E+00
373.5,9.3900E-01
374.0,9.3442E-01
374.5,9.2500E-01
375.0,9.8500E-01
375.5,1.0874E+00
376.0,1.1240E+00
376.5,1.1040E+00
377.0,1.1813E+00
377.5,1.3149E+00
378.0,1.4144E+00
378.5,1.3765E+00
379.0,1.2260E+00
379.5,1.0980E+00
380.0,1.1520E+00
380.5,1.2310E+00
381.0,1.2490E+00
381.5,1.1224E+00
382.0,9.5426E-01
382.5,8.2313E-01
383.0,7.3603E-01
383.5,7.1095E-01
384.0,8.2100E-01
384.5,9.8620E-01
385.0,1.0802E+00
385.5,1.0296E+00
386.0,9.9113E-01
386.5,1.0279E+00
387.0,1.0354E+00
387.5,1.0186E+00
388.0,1.0067E+00
388.5,9.9743E-01
389.0,1.0810E+00
389.5,1.1958E+00
390.0,1.2519E+00
390.5,1.2601E+00
391.0,1.3322E+00
391.5,1.3490E+00
392.0,1.2400E+00
392.5,1.0312E+00
393.0,7.4500E-01
393.5,5.9120E-01
394.0,7.6675E-01
394.5,1.0557E+00
395.0,1.2450E+00
395.5,1.3245E+00
396.0,1.1626E+00
396.5,8.4330E-01
397.0,6.5200E-01
397.5,9.6142E-01
398.0,1.3010E+00
398.5,1.5342E+00
399.0,1.6245E+00
399.5,1.6717E+00
400.0,1.6885E+00
401.0,1.7520E+00
402.0,1.8140E+00
403.0,1.7400E+00
404.0,1.7630E+00
405.0,1.7150E+00
406.0,1.6660E+00
407.0,1.6300E+00
408.0,1.6990E+00
409.0,1.8090E+00
410.0,1.5370E+00
411.0,1.7150E+00
412.0,1.8160E+00
413.0,1.7392E+00
414.0,1.7144E+00
415.0,1.7688E+00
416.0,1.8150E+00
417.0,1.7660E+00
418.0,1.6850E+00
419.0,1.7490E+00
420.0,1.5990E+00
421.0,1.8110E+00
422.0,1.7820E+00
423.0,1.7210E+00
424.0,1.7080E+00
425.0,1.7550E+00
426.0,1.6990E+00
427.0,1.6380E+00
428.0,1.6510E+00
429.0,1.5230E+00
430.0,1.2120E+00
431.0,1.0990E+00
432.0,1.8220E+00
433.0,1.6913E+00
434.0,1.5600E+00
435.0,1.7090E+00
436.0,1.8680E+00
437.0,1.9000E+00
438.0,1.6630E+00
439.0,1.6010E+00
440.0,1.8300E+00
441.0,1.7990E+00
442.0,1.9220E+00
443.0,1.9490E+00
444.0,1.8941E+00
445.0,1.9650E+00
446.0,1.7557E+00
447.0,1.9900E+00
448.0,2.0140E+00
449.0,2.0010E+00
450.0,2.0690E+00
451.0,2.1420E+00
452.0,2.0470E+00
453.0,1.8864E+00
454.0,2.0180E+00
455.0,2.0010E+00
456.0,2.0630E+00
457.0,2.0770E+00
458.0,2.0320E+00
459.0,2.0120E+00
460.0,1.9973E+00
461.0,2.0639E+00
462.0,2.0780E+00
463.0,2.0840E+00
464.0,2.0150E+00
465.0,1.9840E+00
466.0,2.0210E+00
467.0,1.9310E+00
468.0,2.0120E+00
469.0,2.0180E+00
470.0,1.9390E+00
471.0,1.9690E+00
472.0,2.0700E+00
473.0,1.9882E+00
474.0,2.0120E+00
475.0,2.0800E+00
476.0,2.0120E+00
477.0,2.0250E+00
478.0,2.0860E+00
479.0,2.0400E+00
480.0,2.0680E+00
481.0,2.0610E+00
482.0,2.0623E+00
483.0,2.0310E+00
484.0,1.9890E+00
485.0,1.9790E+00
486.0,1.6010E+00
487.0,1.7890E+00
488.0,1.9350E+00
489.0,1.8224E+00
490.0,2.0320E+00
491.0,1.9490E+00
492.0,1.8560E+00
493.0,1.9830E+00
494.0,1.9339E+00
495.0,2.0510E+00
496.0,1.9490E+00
497.0,1.9800E+00
498.0,1.9240E+00
499.0,1.9230E+00
500.0,1.9160E+00
501.0,1.8580E+00
502.0,1.8600E+00
503.0,1.9490E+00
504.0,1.8330E+00
505.0,1.9472E+00
506.0,2.0250E+00
507.0,1.9354E+00
508.0,1.8800E+00
509.0,1.9650E+00
510.0,1.9100E+00
511.0,1.9410E+00
512.0,1.9890E+00
513.0,1.8660E+00
514.0,1.8240E+00
515.0,1.8750E+00
516.0,1.8910E+00
517.0,1.5390E+00
518.0,1.7590E+00
519.0,1.7040E+00
520.0,1.8600E+00
521.0,1.8730E+00
522.0,1.9150E+00
523.0,1.8040E+00
524.0,1.9410E+00
525.0,1.9280E+00
526.0,1.8740E+00
527.0,1.6410E+00
528.0,1.8800E+00
529.0,1.9690E+00
530.0,1.8920E+00
531.0,1.9950E+00
532.0,1.9580E+00
533.0,1.7470E+00
534.0,1.8690E+00
535.0,1.8950E+00
536.0,1.9740E+00
537.0,1.8240E+00
538.0,1.9130E+00
539.0,1.8640E+00
540.0,1.8000E+00
541.0,1.7340E+00
542.0,1.8880E+00
543.0,1.8510E+00
544.0,1.9190E+00
545.0,1.8740E+00
546.0,1.8609E+00
547.0,1.8820E+00
548.0,1.8260E+00
549.0,1.8800E+00
550.0,1.8630E+00
551.0,1.8590E+00
552.0,1.8960E+00
553.0,1.8420E+00
554.0,1.8780E+00
555.0,1.8890E+00
556.0,1.8570E+00
557.0,1.8120E+00
558.0,1.8530E+00
559.0,1.7550E+00
560.0,1.7860E+00
561.0,1.8900E+00
562.0,1.8010E+00
563.0,1.8710E+00
564.0,1.8360E+00
565.0,1.8490E+00
566.0,1.7500E+00
567.0,1.8680E+00
568.0,1.8590E+00
569.0,1.8310E+00
570.0,1.8280E+00
571.0,1.7620E+00
572.0,1.8720E+00
573.0,1.8810E+00
574.0,1.8730E+00
575.0,1.8340E+00
576.0,1.8180E+00
577.0,1.8620E+00
578.0,1.7990E+00
579.0,1.8160E+00
580.0,1.8340E+00
581.0,1.8330E+00
582.0,1.8520E+00
583.0,1.8630E+00
584.0,1.8540E+00
585.0,1.8360E+00
586.0,1.7920E+00
587.0,1.8380E+00
588.0,1.8210E+00
589.0,1.6240E+00
590.0,1.7218E+00
591.0,1.8090E+00
592.0,1.7880E+00
593.0,1.7920E+00
594.0,1.7890E+00
595.0,1.7780E+00
596.0,1.7960E+00
597.0,1.8060E+00
598.0,1.7720E+00
599.0,1.7640E+00
600.0,1.7700E+00
601.0,1.7420E+00
602.0,1.7150E+00
603.0,1.7490E+00
604.0,1.7790E+00
605.0,1.7730E+00
606.0,1.7580E+00
607.0,1.7620E+00
608.0,1.7510E+00
609.0,1.7340E+00
610.0,1.7240E+00
611.0,1.7120E+00
612.0,1.7360E+00
613.0,1.7100E+00
614.0,1.6550E+00
615.0,1.7120E+00
616.0,1.6640E+00
617.0,1.6410E+00
618.0,1.7020E+00
619.0,1.7090E+00
620.0,1.7110E+00
621.0,1.7240E+00
622.0,1.6784E+00
623.0,1.6820E+00
624.0,1.6670E+00
625.0,1.6440E+00
626.0,1.6400E+00
627.0,1.6930E+00
628.0,1.6930E+00
629.0,1.6870E+00
630.0,1.6650E+00
631.0,1.6590E+00
632.0,1.5901E+00
633.0,1.6740E+00
634.0,1.6370E+00
635.0,1.6520E+00
636.0,1.6093E+00
637.0,1.6610E+00
638.0,1.6650E+00
639.0,1.6530E+00
640.0,1.6130E+00
641.0,1.6100E+00
642.0,1.6090E+00
643.0,1.6250E+00
644.0,1.6140E+00
645.0,1.6270E+00
646.0,1.5910E+00
647.0,1.6060E+00
648.0,1.6020E+00
649.0,1.5510E+00
650.0,1.5260E+00
651.0,1.6130E+00
652.0,1.5910E+00
653.0,1.5980E+00
654.0,1.5750E+00
655.0,1.5230E+00
656.0,1.3233E+00
657.0,1.3840E+00
658.0,1.5390E+00
659.0,1.5420E+00
660.0,1.5580E+00
661.0,1.5660E+00
662.0,1.5710E+00
663.0,1.5630E+00
664.0,1.5540E+00
665.0,1.5670E+00
666.0,1.5550E+00
667.0,1.5354E+00
668.0,1.5348E+00
669.0,1.5580E+00
670.0,1.5340E+00
671.0,1.5290E+00
672.0,1.5060E+00
673.0,1.5170E+00
674.0,1.5130E+00
675.0,1.4990E+00
676.0,1.5150E+00
677.0,1.5000E+00
678.0,1.5070E+00
679.0,1.4930E+00
680.0,1.4940E+00
681.0,1.4870E+00
682.0,1.4930E+00
683.0,1.4760E+00
684.0,1.4660E+00
685.0,1.4650E+00
686.0,1.4330E+00
687.0,1.4720E+00
688.0,1.4760E+00
689.0,1.4780E+00
690.0,1.4790E+00
691.0,1.4680E+00
692.0,1.4540E+00
693.0,1.4580E+00
694.0,1.4570E+00
695.0,1.4350E+00
696.0,1.4420E+00
697.0,1.4380E+00
698.0,1.4170E+00
699.0,1.4340E+00
700.0,1.4220E+00
701.0,1.4131E+00
702.0,1.3987E+00
703.0,1.4095E+00
704.0,1.4187E+00
705.0,1.4330E+00
706.0,1.4138E+00
707.0,1.4040E+00
708.0,1.3990E+00
709.0,1.3900E+00
710.0,1.4040E+00
711.0,1.3970E+00
712.0,1.3818E+00
713.0,1.3702E+00
714.0,1.3819E+00
715.0,1.3502E+00
716.0,1.3694E+00
717.0,1.3650E+00
718.0,1.3570E+00
719.0,1.3010E+00
720.0,1.3487E+00
721.0,1.3480E+00
722.0,1.3600E+00
723.0,1.3510E+00
724.0,1.3607E+00
725.0,1.3465E+00
726.0,1.3429E+00
727.0,1.3444E+00
728.0,1.3370E+00
729.0,1.2796E+00
730.0,1.3357E+00
731.0,1.3104E+00
732.0,1.3333E+00
733.0,1.3108E+00
734.0,1.3390E+00
735.0,1.3271E+00
736.0,1.3100E+00
737.0,1.3120E+00
738.0,1.3000E+00
739.0,1.2646E+00
740.0,1.2830E+00
741.0,1.2707E+00
742.0,1.2649E+00
743.0,1.2892E+00
744.0,1.2955E+00
745.0,1.2920E+00
746.0,1.2892E+00
747.0,1.2890E+00
748.0,1.2808E+00
749.0,1.2760E+00
750.0,1.2740E+00
751.0,1.2680E+00
752.0,1.2720E+00
753.0,1.2650E+00
754.0,1.2809E+00
755.0,1.2771E+00
756.0,1.2610E+00
757.0,1.2598E+00
758.0,1.2680E+00
759.0,1.2500E+00
760.0,1.2590E+00
761.0,1.2487E+00
762.0,1.2460E+00
763.0,1.2543E+00
764.0,1.2566E+00
765.0,1.2452E+00
766.0,1.2000E+00
767.0,1.2120E+00
768.0,1.2310E+00
769.0,1.2142E+00
770.0,1.2146E+00
771.0,1.2073E+00
772.0,1.2120E+00
773.0,1.2100E+00
774.0,1.2090E+00
775.0,1.2080E+00
776.0,1.2102E+00
777.0,1.2028E+00
778.0,1.2014E+00
779.0,1.2067E+00
780.0,1.1930E+00
781.0,1.1898E+00
782.0,1.1950E+00
783.0,1.1896E+00
784.0,1.1810E+00
785.0,1.1874E+00
786.0,1.1890E+00
787.0,1.1877E+00
788.0,1.1800E+00
789.0,1.1812E+00
790.0,1.1704E+00
791.0,1.1632E+00
792.0,1.1500E+00
793.0,1.1449E+00
794.0,1.1260E+00
795.0,1.1280E+00
796.0,1.1427E+00
797.0,1.1580E+00
798.0,1.1501E+00
799.0,1.1350E+00
800.0,1.1248E+00
801.0,1.1427E+00
802.0,1.1422E+00
803.0,1.1241E+00
804.0,1.1342E+00
805.0,1.1001E+00
806.0,1.1309E+00
807.0,1.1230E+00
808.0,1.1162E+00
809.0,1.0980E+00
810.0,1.1100E+00
811.0,1.1143E+00
812.0,1.1160E+00
813.0,1.1180E+00
814.0,1.1174E+00
815.0,1.1091E+00
816.0,1.1050E+00
817.0,1.1083E+00
818.0,1.0861E+00
819.0,1.0738E+00
820.0,1.0740E+00
821.0,1.0760E+00
822.0,1.0560E+00
823.0,1.0760E+00
824.0,1.0715E+00
825.0,1.0699E+00
826.0,1.0759E+00
827.0,1.0762E+00
828.0,1.0749E+00
829.0,1.0620E+00
830.0,1.0563E+00
831.0,1.0560E+00
832.0,1.0550E+00
833.0,1.0327E+00
834.0,1.0459E+00
835.0,1.0476E+00
836.0,1.0597E+00
837.0,1.0511E+00
838.0,1.0549E+00
839.0,1.0400E+00
840.0,1.0500E+00
841.0,1.0520E+00
842.0,1.0287E+00
843.0,1.0271E+00
844.0,1.0140E+00
845.0,1.0360E+00
846.0,1.0370E+00
847.0,1.0060E+00
848.0,1.0110E+00
849.0,1.0050E+00
850.0,9.1000E-01
851.0,9.9800E-01
852.0,9.9000E-01
853.0,9.8100E-01
854.0,8.6900E-01
855.0,9.2700E-01
856.0,9.9017E-01
857.0,1.0056E+00
858.0,1.0070E+00
859.0,1.0050E+00
860.0,1.0000E+00
861.0,9.9900E-01
862.0,1.0060E+00
863.0,1.0120E+00
864.0,9.9006E-01
865.0,9.7354E-01
866.0,8.5800E-01
867.0,9.2500E-01
868.0,9.6900E-01
869.0,9.5900E-01
870.0,9.7700E-01
871.0,9.6317E-01
872.0,9.7600E-01
873.0,9.6614E-01
874.0,9.4913E-01
875.0,9.3562E-01
876.0,9.6200E-01
877.0,9.6500E-01
878.0,9.6200E-01
879.0,9.4571E-01
880.0,9.4856E-01
881.0,9.1963E-01
882.0,9.4408E-01
883.0,9.3930E-01
884.0,9.4352E-01
885.0,9.5469E-01
886.0,9.2558E-01
887.0,9.2300E-01
888.0,9.4066E-01
889.0,9.4367E-01
890.0,9.4236E-01
891.0,9.3928E-01
892.0,9.3259E-01
893.0,9.1800E-01
894.0,9.2400E-01
895.0,9.2600E-01
896.0,9.3425E-01
897.0,9.2686E-01
898.0,9.2378E-01
899.0,9.1396E-01
900.0,9.1378E-01
901.0,8.9834E-01
902.0,8.7720E-01
903.0,9.2233E-01
904.0,9.2100E-01
905.0,9.1800E-01
906.0,9.0780E-01
907.0,9.1450E-01
908.0,9.0143E-01
909.0,8.8552E-01
910.0,8.9496E-01
911.0,8.9730E-01
912.0,8.9016E-01
913.0,9.0020E-01
914.0,8.9820E-01
915.0,8.8830E-01
916.0,8.9470E-01
917.0,8.8860E-01
918.0,8.8810E-01
919.0,8.9210E-01
920.0,8.8540E-01
921.0,8.7030E-01
922.0,8.6280E-01
923.0,8.3335E-01
924.0,8.6957E-01
925.0,8.7642E-01
926.0,8.4561E-01
927.0,8.7809E-01
928.0,8.7110E-01
929.0,8.6954E-01
930.0,8.6866E-01
931.0,8.7078E-01
932.0,8.6514E-01
933.0,8.6958E-01
934.0,8.6709E-01
935.0,8.5601E-01
936.0,8.5222E-01
937.0,8.5368E-01
938.0,8.5936E-01
939.0,8.5676E-01
940.0,8.4000E-01
941.0,8.3153E-01
942.0,8.0616E-01
943.0,8.3814E-01
944.0,8.1854E-01
945.0,8.2441E-01
946.0,8.3138E-01
947.0,8.2809E-01
948.0,8.3137E-01
949.0,8.3303E-01
950.0,8.2867E-01
951.0,8.2019E-01
952.0,8.2402E-01
953.0,8.2050E-01
954.0,8.1200E-01
955.0,7.6900E-01
956.0,8.0200E-01
957.0,8.0583E-01
958.0,8.1147E-01
959.0,8.1483E-01
960.0,8.0627E-01
961.0,7.9982E-01
962.0,8.0173E-01
963.0,7.9761E-01
964.0,7.8808E-01
965.0,7.9579E-01
966.0,7.8598E-01
967.0,7.9503E-01
968.0,7.8526E-01
969.0,7.8789E-01
970.0,7.9140E-01
971.0,7.8186E-01
972.0,7.8785E-01
973.0,7.8149E-01
974.0,7.6882E-01
975.0,7.7348E-01
976.0,7.8054E-01
977.0,7.7208E-01
978.0,7.7800E-01
979.0,7.6650E-01
980.0,7.7512E-01
981.0,7.7300E-01
982.0,7.7879E-01
983.0,7.7541E-01
984.0,7.6881E-01
985.0,7.7081E-01
986.0,7.6620E-01
987.0,7.6606E-01
988.0,7.6368E-01
989.0,7.5500E-01
990.0,7.5694E-01
991.0,7.6161E-01
992.0,7.5714E-01
993.0,7.5639E-01
994.0,7.5851E-01
995.0,7.5392E-01
996.0,7.5347E-01
997.0,7.4300E-01
998.0,7.4300E-01
999.0,7.4200E-01
1000.0,7.4255E-01
1001.0,7.4741E-01
1002.0,7.4677E-01
1003.0,7.3836E-01
1004.0,7.3133E-01
1005.0,6.8365E-01
1006.0,7.1770E-01
1007.0,7.3093E-01
1008.0,7.3339E-01
1009.0,7.2934E-01
1010.0,7.3055E-01
1011.0,7.2562E-01
1012.0,7.2496E-01
1013.0,7.1960E-01
1014.0,7.2265E-01
1015.0,7.1062E-01
1016.0,7.1419E-01
1017.0,7.0659E-01
1018.0,7.1566E-01
1019.0,6.9606E-01
1020.0,7.0127E-01
1021.0,7.0300E-01
1022.0,6.9300E-01
1023.0,6.9900E-01
1024.0,7.0057E-01
1025.0,6.9918E-01
1026.0,6.9943E-01
1027.0,6.9594E-01
1028.0,6.9722E-01
1029.0,6.9000E-01
1030.0,6.9208E-01
1031.0,6.8985E-01
1032.0,6.8960E-01
1033.0,6.7800E-01
1034.0,6.8181E-01
1035.0,6.8400E-01
1036.0,6.8431E-01
1037.0,6.7731E-01
1038.0,6.7400E-01
1039.0,6.7900E-01
1040.0,6.7440E-01
1041.0,6.7490E-01
1042.0,6.7516E-01
1043.0,6.6860E-01
1044.0,6.7199E-01
1045.0,6.6846E-01
1046.0,6.5131E-01
1047.0,6.6155E-01
1048.0,6.6781E-01
1049.0,6.6491E-01
1050.0,6.6117E-01
1051.0,6.6182E-01
1052.0,6.5848E-01
1053.0,6.5698E-01
1054.0,6.5474E-01
1055.0,6.5753E-01
1056.0,6.5629E-01
1057.0,6.5540E-01
1058.0,6.4937E-01
1059.0,6.3046E-01
1060.0,6.4831E-01
1061.0,6.3387E-01
1062.0,6.4651E-01
1063.0,6.3669E-01
1064.0,6.4621E-01
1065.0,6.4533E-01
1066.0,6.3139E-01
1067.0,6.3517E-01
1068.0,6.3591E-01
1069.0,6.0084E-01
1070.0,6.2165E-01
1071.0,6.2821E-01
1072.0,6.3131E-01
1073.0,6.1796E-01
1074.0,6.3063E-01
1075.0,6.1768E-01
1076.0,6.2468E-01
1077.0,6.2426E-01
1078.0,6.2531E-01
1079.0,6.1203E-01
1080.0,6.2250E-01
1081.0,6.0726E-01
1082.0,6.0249E-01
1083.0,6.0900E-01
1084.0,6.1392E-01
1085.0,6.1181E-01
1086.0,6.1570E-01
1087.0,5.9145E-01
1088.0,6.0728E-01
1089.0,6.0908E-01
1090.0,6.0442E-01
1091.0,6.0799E-01
1092.0,5.9692E-01
1093.0,5.9221E-01
1094.0,5.6065E-01
1095.0,5.8252E-01
1096.0,5.8600E-01
1097.0,5.9100E-01
1098.0,5.8700E-01
1099.0,5.8216E-01
1100.0,6.0000E-01
1101.0,5.9900E-01
1102.0,5.8202E-01
1103.0,5.9500E-01
1104.0,5.9300E-01
1105.0,5.9100E-01
1106.0,5.9000E-01
1107.0,5.8600E-01
1108.0,5.8650E-01
1109.0,5.8550E-01
1110.0,5.8700E-01
1111.0,5.8250E-01
1112.0,5.8342E-01
1113.0,5.7800E-01
1114.0,5.8400E-01
1115.0,5.8200E-01
1116.0,5.7500E-01
1117.0,5.8300E-01
1118.0,5.7222E-01
1119.0,5.7151E-01
1120.0,5.6850E-01
1121.0,5.7200E-01
1122.0,5.7500E-01
1123.0,5.7400E-01
1124.0,5.7250E-01
1125.0,5.7012E-01
1126.0,5.5300E-01
1127.0,5.6179E-01
1128.0,5.6829E-01
1129.0,5.6837E-01
1130.0,5.6401E-01
1131.0,5.6800E-01
1132.0,5.7000E-01
1133.0,5.6186E-01
1134.0,5.6346E-01
1135.0,5.6250E-01
1136.0,5.6481E-01
1137.0,5.5197E-01
1138.0,5.4400E-01
1139.0,5.5300E-01
1140.0,5.5573E-01
1141.0,5.4303E-01
1142.0,5.5531E-01
1143.0,5.4960E-01
1144.0,5.4501E-01
1145.0,5.5001E-01
1146.0,5.5407E-01
1147.0,5.5408E-01
1148.0,5.5032E-01
1149.0,5.4788E-01
1150.0,5.4623E-01
1151.0,5.4531E-01
1152.0,5.4170E-01
1153.0,5.4308E-01
1154.0,5.4651E-01
1155.0,5.4731E-01
1156.0,5.4022E-01
1157.0,5.4370E-01
1158.0,5.4334E-01
1159.0,5.3548E-01
1160.0,5.2928E-01
1161.0,5.1899E-01
1162.0,5.3336E-01
1163.0,5.3708E-01
1164.0,5.2684E-01
1165.0,5.3482E-01
1166.0,5.2227E-01
1167.0,5.2984E-01
1168.0,5.3415E-01
1169.0,5.1640E-01
1170.0,5.2875E-01
1171.0,5.3074E-01
1172.0,5.3063E-01
1173.0,5.2686E-01
1174.0,5.2760E-01
1175.0,5.1852E-01
1176.0,5.1036E-01
1177.0,5.2296E-01
1178.0,5.1703E-01
1179.0,5.1504E-01
1180.0,5.2199E-01
1181.0,5.1843E-01
1182.0,5.1743E-01
1183.0,4.8821E-01
1184.0,5.1098E-01
1185.0,5.1605E-01
1186.0,5.1519E-01
1187.0,5.1455E-01
1188.0,5.1012E-01
1189.0,4.8402E-01
1190.0,5.0583E-01
1191.0,5.1354E-01
1192.0,5.1175E-01
1193.0,5.1064E-01
1194.0,5.1127E-01
1195.0,5.0592E-01
1196.0,5.0561E-01
1197.0,5.0286E-01
1198.0,4.9217E-01
1199.0,4.7434E-01
1200.0,5.0005E-01
1201.0,5.0579E-01
1202.0,5.0705E-01
1203.0,4.8836E-01
1204.0,4.8696E-01
1205.0,5.0195E-01
1206.0,4.9869E-01
1207.0,5.0143E-01
1208.0,4.8962E-01
1209.0,4.6636E-01
1210.0,4.9225E-01
1211.0,4.7909E-01
1212.0,4.9064E-01
1213.0,4.9190E-01
1214.0,4.8932E-01
1215.0,4.9044E-01
1216.0,4.8878E-01
1217.0,4.8764E-01
1218.0,4.8599E-01
1219.0,4.8234E-01
1220.0,4.8433E-01
1221.0,4.8343E-01
1222.0,4.8133E-01
1223.0,4.7600E-01
1224.0,4.8224E-01
1225.0,4.7925E-01
1226.0,4.8026E-01
1227.0,4.6841E-01
1228.0,4.7443E-01
1229.0,4.7725E-01
1230.0,4.7502E-01
1231.0,4.7425E-01
1232.0,4.6896E-01
1233.0,4.7118E-01
1234.0,4.6946E-01
1235.0,4.6644E-01
1236.0,4.6863E-01
1237.0,4.6790E-01
1238.0,4.6748E-01
1239.0,4.6235E-01
1240.0,4.5968E-01
1241.0,4.6439E-01
1242.0,4.6169E-01
1243.0,4.5655E-01
1244.0,4.5535E-01
1245.0,4.5600E-01
1246.0,4.5875E-01
1247.0,4.5775E-01
1248.0,4.6076E-01
1249.0,4.6013E-01
1250.0,4.5860E-01
1251.0,4.5638E-01
1252.0,4.5195E-01
1253.0,4.5371E-01
1254.0,4.5358E-01
1255.0,4.5304E-01
1256.0,4.5192E-01
1257.0,4.4880E-01
1258.0,4.5116E-01
1259.0,4.4797E-01
1260.0,4.5018E-01
1261.0,4.4925E-01
1262.0,4.4252E-01
1263.0,4.4825E-01
1264.0,4.4198E-01
1265.0,4.4267E-01
1266.0,4.4615E-01
1267.0,4.3912E-01
1268.0,4.3594E-01
1269.0,4.4042E-01
1270.0,4.4212E-01
1271.0,4.4290E-01
1272.0,4.4130E-01
1273.0,4.4084E-01
1274.0,4.3807E-01
1275.0,4.4072E-01
1276.0,4.4192E-01
1277.0,4.4188E-01
1278.0,4.4074E-01
1279.0,4.3795E-01
1280.0,4.3543E-01
1281.0,4.2267E-01
1282.0,3.7589E-01
1283.0,4.1159E-01
